Author,Year,Condition,Control,Group.or.Individual,Sample Size,Age,Percent.Male,Percent.White,MMSE,PEDro,Treatment.Length,Tx.Sesson.Duration,Treatment.Frequency,Measure.Name,Method,Constructs,Higher.Score.Direction,Mean.Pre,SD.Pre,Mean.Post,SD.Post,Mean.Change
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,"Rey Auditory Verbal Learning Test, # words learned",Cognitive,COG - memory,1,41.2,10.2,NR,NR,-0.04
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,"Rey Auditory Verbal Learning Test, # words recalled",Cognitive,COG - memory,1,7.1,2.9,NR,NR,-0.07
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,"verbal fluency, letter",Cognitive,COG - exec fx,1,12.8,4.6,NR,NR,0.22
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,"verbal fluency, category",Cognitive,COG - language,1,18.6,4.4,NR,NR,0.18
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,Digit Symbol Substitution Test,Cognitive,COG - attention,1,56.6,11,NR,NR,0.08
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,Trails A,Cognitive,COG - attention,-1,44.4,14.8,NR,NR,-0.36
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,Trails B,Cognitive,COG - exec fx,-1,87.6,31.1,NR,NR,-0.25
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,"Eriksen Flanker Test, congruent reaction time",Cognitive,COG - exec fx,-1,659.2,136.5,NR,NR,-0.33
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,"Eriksen Flanker Test, incongruent reaction time",Cognitive,COG - exec fx,-1,732.6,147.7,NR,NR,-0.33
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,"Useful Field of View, processing speed",Cognitive,COG - attention,-1,34.6,35.6,NR,NR,-0.39
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,"Useful Field of View, divided attention",Cognitive,COG - attention,-1,117,124.3,NR,NR,-0.62
Barnes et al.,2013,Combined,Active Control,Group,32,74.8,37.5,65.6,NR,9,12,1,3,"Useful Field of View, selective attention",Cognitive,COG - attention,-1,234.3,107.5,NR,NR,-0.71
Barnes et al.,2013,Cognitive,Active Control,Group,31,73.8,41.9,71,NR,9,12,1,3,"Rey Auditory Verbal Learning Test, # words learned",Cognitive,COG - memory,1,40,9.9,NR,NR,0.13
Barnes et al.,2013,Cognitive,Active Control,Group,31,73.8,41.9,71,NR,9,12,1,3,"Rey Auditory Verbal Learning Test, # words recalled",Cognitive,COG - memory,1,7.2,4.1,NR,NR,-0.1
Barnes et al.,2013,Cognitive,Active Control,Group,31,73.8,41.9,71,NR,9,12,1,3,"verbal fluency, letter",Cognitive,COG - exec fx,1,12.6,4,NR,NR,0.24
Barnes et al.,2013,Cognitive,Active Control,Group,31,73.8,41.9,71,NR,9,12,1,3,"verbal fluency, category",Cognitive,COG - language,1,17.2,5.4,NR,NR,0.22
Barnes et al.,2013,Cognitive,Active Control,Group,31,73.8,41.9,71,NR,9,12,1,3,Digit Symbol Substitution Test,Cognitive,COG - attention,1,54.8,14.6,NR,NR,0.27
Barnes et al.,2013,Cognitive,Active Control,Group,31,73.8,41.9,71,NR,9,12,1,3,Trails A,Cognitive,COG - attention,-1,36.5,17.1,NR,NR,-0.03
